"review_category","query","preset","facets","expected_rfcs","confidence","note"
"LOW CONFIDENCE mapping","bgp-4 mib","red","","4273","low",""
"LOW CONFIDENCE mapping","segment routing leverages the source routing paradigm","red-content","","8402","low",""
"UNCERTAIN: query does not match an expected RFC title","RTCP","red","","3550","high",""
"LOW CONFIDENCE mapping","secure RTP feedback profile SAVPF","red","","5124","low",""
"UNCERTAIN: query does not match an expected RFC title","SCTP","red","","4960","high",""
"LOW CONFIDENCE mapping","SIP call transfer best practices","red","","5589","low",""
"LOW CONFIDENCE mapping","using RTP for real time voice","red-content","","3550","low",""
"UNCERTAIN: query does not match an expected RFC title","SHA-1","red","","3174","high",""
"LOW CONFIDENCE mapping","digital signature ed25519 openssh","red","","8032","low",""
"LOW CONFIDENCE mapping","elliptic curves for security","red","","6090","low",""
"UNCERTAIN: query does not match an expected RFC title","chacha stream cipher","red","","8439","medium",""
"UNCERTAIN: query does not match an expected RFC title","pkix","red","","5280","medium",""
"LOW CONFIDENCE mapping","CMP updates","red","","9480","low",""
"UNCERTAIN: query does not match an expected RFC title","CT logs","red","group.acronym=trans","9162","medium",""
"UNCERTAIN: query does not match an expected RFC title","CT precertificate","red","","9162","medium",""
"LOW CONFIDENCE mapping","PKCS#7 cryptographic message syntax","red","","5652","low",""
"UNCERTAIN: query does not match an expected RFC title","lets encrypt protocol","red","","8555","medium",""
"UNCERTAIN: query does not match an expected RFC title","scep","red","","8894","medium",""
"LOW CONFIDENCE mapping","how to validate a certificate chain","red","","5280","low",""
"LOW CONFIDENCE mapping","""a certificate MUST NOT include""","red-content","","5280","low",""
"LOW CONFIDENCE mapping","""the client MUST verify that the server certificate""","red-content","","6960","low",""
"LOW CONFIDENCE mapping","jwt vs jws","red","","7519","low",""
"LOW CONFIDENCE mapping","cose sign1","red","","9052","low",""
"UNCERTAIN: query does not match an expected RFC title","JWT BCP","red","","8725","high",""
"LOW CONFIDENCE mapping","JWE represents encrypted content using JSON-based data structures","red-content","","7516","low",""
"UNCERTAIN: query does not match an expected RFC title","pkce","red","","7636","high",""
"UNCERTAIN: query does not match an expected RFC title","gss-api","red","","2743","high",""
"UNCERTAIN: query does not match an expected RFC title","gssapi","red","","2743","high",""
"LOW CONFIDENCE mapping","xml digital signature","red","","3275","low",""
"UNCERTAIN: query does not match an expected RFC title","URN syntax","red","","8141","high",""
"UNCERTAIN: query does not match an expected RFC title","what is a urn","red","","8141","high",""
"UNCERTAIN: query does not match an expected RFC title","resolving relative URLs","red","","3986","high",""
"LOW CONFIDENCE mapping","info URI scheme","red","","4452","low",""
"LOW CONFIDENCE mapping","POP URL scheme","red","","2384","low",""
"LOW CONFIDENCE mapping","opaque URI","red-content","","3986","low",""
"UNCERTAIN: query does not match an expected RFC title","SNMPv2c","red","","1901","high",""
"UNCERTAIN: query does not match an expected RFC title","SNMPv3","red","status.name=Internet Standard","3411","high",""
"UNCERTAIN: query does not match an expected RFC title","SMI","red","","2578","high",""
"LOW CONFIDENCE mapping","streaming telemetry","red","","8641","low",""
"LOW CONFIDENCE mapping","SNPM","red","","1157","low","common misspelling of SNMP"
"UNCERTAIN: query does not match an expected RFC title","IPsec","red","","4301","high",""
"UNCERTAIN: query does not match an expected RFC title","AH protocol ipsec","red","","4302","high",""
"UNCERTAIN: query does not match an expected RFC title","ike2","red","","7296","medium",""
"LOW CONFIDENCE mapping","original internet key exchange protocol","red","","2409","low",""
"LOW CONFIDENCE mapping","opportunistic encryption IKE","red","","4322","low",""
"LOW CONFIDENCE mapping","encryption suite ipsec","red","","4308","low",""
"LOW CONFIDENCE mapping","famous ESP anti-replay window sentence","red-content","","4303","low",""
"UNCERTAIN: query does not match an expected RFC title","rfc 8174","red","","8174","high",""
"UNCERTAIN: query does not match an expected RFC title","ipr policy","red","subseries.acronym=bcp","8179","medium",""
"UNCERTAIN: query does not match an expected RFC title","rfc boilerplate text","red","","7841","medium",""
"UNCERTAIN: query does not match an expected RFC title","iasa 2.0","red","","8711","medium",""
"UNCERTAIN: query does not match an expected RFC title","slow start algorithm","red","","5681","high",""
"UNCERTAIN: query does not match an expected RFC title","slow start restart after idle","red","","5681","medium",""
"UNCERTAIN: query does not match an expected RFC title","AQM","red","","7567","medium",""
"UNCERTAIN: query does not match an expected RFC title","CoDel","red","","8289","high",""
"LOW CONFIDENCE mapping","congestion control for real time media","red","","8836","low",""
"UNCERTAIN: query does not match an expected RFC title","6LoWPAN","red","","4944","high",""
"UNCERTAIN: query does not match an expected RFC title","6lowpan format","red","group.acronym=6lowpan","4944","high",""
"UNCERTAIN: query does not match an expected RFC title","MRHOF","red","","6719","medium",""
"LOW CONFIDENCE mapping","LwM2M","red","","7252","low","LwM2M is an OMA spec built on CoAP; no dedicated IETF RFC, mapping to core CoAP"
"LOW CONFIDENCE mapping","lightweight m2m coap","red","","7252","low",""
"LOW CONFIDENCE mapping","time-sensitive networking ietf","red","","8655","low",""
"LOW CONFIDENCE mapping","6lowpan fragment forwarding","red","","8931","low",""
"UNCERTAIN: query does not match an expected RFC title","IDNA2008","red","group.acronym=idnabis","5890","high",""
"UNCERTAIN: query does not match an expected RFC title","punnycode","red","","3492","medium","common misspelling"
"UNCERTAIN: query does not match an expected RFC title","bcp47 language tag","red","","5646","high",""
"LOW CONFIDENCE mapping","idn homograph attack rationale","red","","5894","low",""
"LOW CONFIDENCE mapping","domain name unicode normalization","red","","3491","low",""
"LOW CONFIDENCE mapping","internationalized email addresses to look like a real address","red","","8265","low","PRECIS usernames often searched alongside EAI"
"UNCERTAIN: query does not match an expected RFC title","ftp","red","","959","high",""
"UNCERTAIN: query does not match an expected RFC title","trivial file transfer protocol","red","","1350","high",""
"LOW CONFIDENCE mapping","ssh agent forwarding","red-content","","4254","low",""
"UNCERTAIN: query does not match an expected RFC title","secsh","red","","4251","medium",""
"LOW CONFIDENCE mapping","rlogin protocol","red","","1282","low",""
"LOW CONFIDENCE mapping","mount protocol nfs","red","","1813","low",""
"LOW CONFIDENCE mapping","rsync","red","","5781","low",""
"UNCERTAIN: query does not match an expected RFC title","sftp","red","","913","medium",""
"LOW CONFIDENCE mapping","scp secure copy protocol","red","","4254","low",""
"UNCERTAIN: query does not match an expected RFC title","IGMPv3","red","","3376","high",""
"UNCERTAIN: query does not match an expected RFC title","IGMPv2","red","","2236","high",""
"UNCERTAIN: query does not match an expected RFC title","MLD","red","","3810","medium",""
"LOW CONFIDENCE mapping","IP multicast address architecture","red","","1112","low",""
"UNCERTAIN: query does not match an expected RFC title","SSM","red","","4607","high",""
"LOW CONFIDENCE mapping","any source multicast vs SSM","red","","4607","low",""
"UNCERTAIN: query does not match an expected RFC title","mDNS","red","","6762","high",""
"LOW CONFIDENCE mapping","multicast address allocation architecture","red","","2908","low",""
"LOW CONFIDENCE mapping","explicit multicast xcast","red","","5058","low",""
"UNCERTAIN: query does not match an expected RFC title","solicited-node multicast address","red","","4291","medium",""
"LOW CONFIDENCE mapping","how does multicast group membership work","red","","3376","low",""
"LOW CONFIDENCE mapping","multicast listener discovery informational","red","stream.name=IETF","3810","low",""
"UNCERTAIN: query does not match an expected RFC title","NTP","red","","5905","high",""
"UNCERTAIN: query does not match an expected RFC title","what is NTP","red","","5905","high",""
"UNCERTAIN: query does not match an expected RFC title","NTP version 4","red","","5905","high",""
"LOW CONFIDENCE mapping","precision time protocol","red","","8173","low",""
"LOW CONFIDENCE mapping","PTP management information base","red","","8173","low",""
"UNCERTAIN: query does not match an expected RFC title","NTS for NTP","red","","8915","medium",""
"UNCERTAIN: query does not match an expected RFC title","DHCP","red","group.acronym=dhc","2131","high",""
"UNCERTAIN: query does not match an expected RFC title","dhcp v6","red","","8415","high",""
"UNCERTAIN: query does not match an expected RFC title","dhcp prefix delegation","red","","8415","medium",""
"UNCERTAIN: query does not match an expected RFC title","BOOTP","red","","951","high",""
"UNCERTAIN: query does not match an expected RFC title","bootp relay agent","red","","1542","medium",""
"LOW CONFIDENCE mapping","dhcp client identifier option","red","","2132","low",""
"LOW CONFIDENCE mapping","diameter network access server application","red","","7155","low",""
"LOW CONFIDENCE mapping","dhpc protocol","red","","2131","low",""
"LOW CONFIDENCE mapping","radious server","red","","2865","low",""
"UNCERTAIN: query does not match an expected RFC title","jabber protocol","red","","6120","medium",""
"LOW CONFIDENCE mapping","cpim mapping xmpp","red","","3922","low",""
"UNCERTAIN: query does not match an expected RFC title","IRC protocol","red","","1459","high",""
"UNCERTAIN: query does not match an expected RFC title","what is irc","red","","1459","high",""
"UNCERTAIN: query does not match an expected RFC title","irc rfc","red","","1459","high",""
"LOW CONFIDENCE mapping","server-sent events rfc","red","","6202","low","SSE itself is a WHATWG/W3C spec with no defining RFC; closest IETF doc on server-push/streaming HTTP techniques is RFC 6202"
"UNCERTAIN: query does not match an expected RFC title","carrier pigeon internet protocol","red","","1149","high",""
"UNCERTAIN: query does not match an expected RFC title","evil bit rfc","red","","3514","high",""
"LOW CONFIDENCE mapping","rfc editor process","red","","8729","low",""
"LOW CONFIDENCE mapping","how to stop email spam spoofing","red","","7208","low",""
"LOW CONFIDENCE mapping","post quantum key exchange rfc","red","","9370","low",""
"LOW CONFIDENCE mapping","quantum resistant vpn ikev2","red","","9370","low",""
"LOW CONFIDENCE mapping","guide to being a good ietf participant","red","","4677","low",""
"UNCERTAIN: expected RFC not found & no title match","ip header format","red","","791","high",""
"UNCERTAIN: expected RFC not found & no title match","what is udp","red","","768","high",""
"UNCERTAIN: expected RFC not found & no title match","udp header format","red","","768","high",""
"UNCERTAIN: expected RFC not found & no title match","how does arp work","red","","826","high",""
"UNCERTAIN: expected RFC not found & no title match","gratuitous arp","red","","5227","low",""
"UNCERTAIN: expected RFC not found & no title match","dsack","red","","2883","high",""
"UNCERTAIN: expected RFC not found & no title match","original tcp spec 1981","red","","793","medium",""
"UNCERTAIN: expected RFC not found & no title match","urgent pointer field is only interpreted when URG flag is set","red-content","","9293","low",""
"UNCERTAIN: expected RFC not found & no title match","IPv6 address format","red","","4291","medium",""
"UNCERTAIN: expected RFC not found & no title match","link-local address IPv6","red","","4291","medium",""
"UNCERTAIN: expected RFC not found & no title match","SLAAC","red","","4862","high",""
"UNCERTAIN: expected RFC not found & no title match","router advertisement","red","","4861","high",""
"UNCERTAIN: expected RFC not found & no title match","6to4","red","","3056","high",""
"UNCERTAIN: expected RFC not found & no title match","modified EUI-64 interface identifier","red","","4291","medium",""
"UNCERTAIN: expected RFC not found & no title match","route information option IPv6","red","","4191","medium",""
"UNCERTAIN: expected RFC not found & no title match","minimum link MTU 1280 octets","red-content","","8200","medium",""
"UNCERTAIN: expected RFC not found & no title match","conditional requests","red","","9110","medium",""
"UNCERTAIN: expected RFC not found & no title match","range requests","red","","9110","medium",""
"UNCERTAIN: expected RFC not found & no title match","etag","red","","9110","medium",""
"UNCERTAIN: expected RFC not found & no title match","cache-control header","red","","9111","high",""
"UNCERTAIN: expected RFC not found & no title match","link header rfc","red","","8288","high",""
"UNCERTAIN: expected RFC not found & no title match","retry-after header","red","","9110","low",""
"UNCERTAIN: expected RFC not found & no title match","chunked transfer encoding","red","","9112","high",""
"UNCERTAIN: expected RFC not found & no title match","GET and HEAD are considered safe methods","red-content","","9110","high",""
"UNCERTAIN: expected RFC not found & no title match","what is dtls used for","red","","6347","medium",""
"UNCERTAIN: expected RFC not found & no title match","server name indication","red","","6066","high",""
"UNCERTAIN: expected RFC not found & no title match","encrypted client hello","red","","9450","low",""
"UNCERTAIN: expected RFC not found & no title match","ECH tls extension","red","","9450","low",""
"UNCERTAIN: expected RFC not found & no title match","heartbleed rfc","red","","6520","medium",""
"UNCERTAIN: expected RFC not found & no title match","hypertext transfer protocol version 3","red","","9114","high",""
"UNCERTAIN: expected RFC not found & no title match","routable connection ids load balancing","red","","9312","low",""
"UNCERTAIN: expected RFC not found & no title match","multipath quic","red","","9767","low",""
"UNCERTAIN: expected RFC not found & no title match","multipath extension for quic","red","","9767","low",""
"UNCERTAIN: expected RFC not found & no title match","ESMTP","red","","5321","high",""
"UNCERTAIN: expected RFC not found & no title match","what is ESMTP","red","","5321","high",""
"UNCERTAIN: expected RFC not found & no title match","how does SMTP work","red","","5321","medium",""
"UNCERTAIN: expected RFC not found & no title match","extended smtp service extensions","red","","5321","medium",""
"UNCERTAIN: expected RFC not found & no title match","smtp realy protocol","red","","5321","medium",""
"UNCERTAIN: expected RFC not found & no title match","SMTP","red","status.name=Internet Standard","5321","high",""
"UNCERTAIN: expected RFC not found & no title match","APOP authentication","red","","1939","medium",""
"UNCERTAIN: expected RFC not found & no title match","email headers explained","red","","5322","medium",""
"UNCERTAIN: expected RFC not found & no title match","quoted printable encoding","red","","2045","medium",""
"UNCERTAIN: expected RFC not found & no title match","content transfer encoding","red","","2045","medium",""
"UNCERTAIN: expected RFC not found & no title match","DSN email","red","","3464","high",""
"UNCERTAIN: expected RFC not found & no title match","MDN email receipt","red","","8098","high",""
"UNCERTAIN: expected RFC not found & no title match","auto-submitted header","red","","3834","high",""
"UNCERTAIN: expected RFC not found & no title match","binarymime","red","","3030","high",""
"UNCERTAIN: expected RFC not found & no title match","be liberal in what you accept conservative in what you send","red-content","","5321","low",""
"UNCERTAIN: expected RFC not found & no title match","each line of characters must be no more than 998 characters","red-content","","5322","high",""
"UNCERTAIN: expected RFC not found & no title match","dnsbl","red","status.name=Informational","5782","high",""
"UNCERTAIN: expected RFC not found & no title match","real time blackhole list rbl","red","","5782","medium",""
"UNCERTAIN: expected RFC not found & no title match","tlsrpt","red","group.acronym=uta","8460","high",""
"UNCERTAIN: expected RFC not found & no title match","email spoofing prevention rfc","red","","7489","low",""
"UNCERTAIN: expected RFC not found & no title match","how to stop phishing emails rfc","red","","7489","low",""
"UNCERTAIN: expected RFC not found & no title match","reject spoofed email from header","red","","7489","medium",""
"UNCERTAIN: expected RFC not found & no title match","what is dns","red","","1034,1035","medium",""
"UNCERTAIN: expected RFC not found & no title match","dns message format","red","","1035","high",""
"UNCERTAIN: expected RFC not found & no title match","dns header format","red","","1035","medium",""
"UNCERTAIN: expected RFC not found & no title match","edns0 udp payload size","red","","6891","medium",""
"UNCERTAIN: expected RFC not found & no title match","requestor's payload size","red-content","","6891","medium",""
"UNCERTAIN: expected RFC not found & no title match","dns wildcard records","red","","4592","high",""
"UNCERTAIN: expected RFC not found & no title match","what is DNSSEC","red","","4033","high",""
"UNCERTAIN: expected RFC not found & no title match","authenticated denial of existence","red-content","","4035","medium",""
"UNCERTAIN: expected RFC not found & no title match","DoT protocol","red","","7858","high",""
"UNCERTAIN: expected RFC not found & no title match","CSYNC record","red","","7477","high",""
"UNCERTAIN: expected RFC not found & no title match","bgpv4 specification","red","","4271","high",""
"UNCERTAIN: expected RFC not found & no title match","ospfv2","red","","2328","high",""
"UNCERTAIN: expected RFC not found & no title match","what is mpls","red","","3031","high",""
"UNCERTAIN: expected RFC not found & no title match","bgp flowspec","red","","8955","high",""
"UNCERTAIN: expected RFC not found & no title match","an inter-autonomous system routing protocol designed for tcp/ip networks","red-content","","4271","medium",""
"UNCERTAIN: expected RFC not found & no title match","DCEP","red","","8832","medium",""
"UNCERTAIN: expected RFC not found & no title match","voip signaling protocol","red","","3261","medium",""
"UNCERTAIN: expected RFC not found & no title match","AES-GCM","red","","5116","medium",""
"UNCERTAIN: expected RFC not found & no title match","PBKDF2","red","","8018","medium",""
"UNCERTAIN: expected RFC not found & no title match","pbkdf2 pkcs5","red","","8018","medium",""
"UNCERTAIN: expected RFC not found & no title match","Ed25519","red","","8032","high",""
"UNCERTAIN: expected RFC not found & no title match","ed448","red","","8032","high",""
"UNCERTAIN: expected RFC not found & no title match","X25519","red","group.acronym=cfrg","7748","high",""
"UNCERTAIN: expected RFC not found & no title match","curve25519","red","","7748","high",""
"UNCERTAIN: expected RFC not found & no title match","curve448","red","","7748","medium",""
"UNCERTAIN: expected RFC not found & no title match","elyptic curve diffie hellman","red","","7748","medium",""
"UNCERTAIN: expected RFC not found & no title match","random bytes for tls","red","","8937","medium",""
"UNCERTAIN: expected RFC not found & no title match","cmpv2","red","","4210","low",""
"UNCERTAIN: expected RFC not found & no title match","PKCS1","red","","8017","medium",""
"UNCERTAIN: expected RFC not found & no title match","timestamping authority","red","","3161","medium",""
"UNCERTAIN: expected RFC not found & no title match","how are jwts signed","red","","7515","medium",""
"UNCERTAIN: expected RFC not found & no title match","ecdh-es jwe","red","","7518","medium",""
"UNCERTAIN: expected RFC not found & no title match","alg none vulnerability jwt","red","","8725","low",""
"UNCERTAIN: expected RFC not found & no title match","jwt confirmation method","red","","7800","medium",""
"UNCERTAIN: expected RFC not found & no title match","what is jose","red","","7519","low",""
"UNCERTAIN: expected RFC not found & no title match","oauth2","red","","6749","high",""
"UNCERTAIN: expected RFC not found & no title match","the resource owner may authorize","red-content","","6749","low",""
"UNCERTAIN: expected RFC not found & no title match","fragment component of a URL","red","","3986","high",""
"UNCERTAIN: expected RFC not found & no title match","relative reference resolution algorithm","red","","3986","high",""
"UNCERTAIN: expected RFC not found & no title match","percent-encoding","red","","3986","high",""
"UNCERTAIN: expected RFC not found & no title match","URL encoding special characters","red","","3986","high",""
"UNCERTAIN: expected RFC not found & no title match","SNMPv1","red","","1157","high",""
"UNCERTAIN: expected RFC not found & no title match","GetBulk request","red","","3416","medium",""
"UNCERTAIN: expected RFC not found & no title match","SMIv1","red","","1155","high",""
"UNCERTAIN: expected RFC not found & no title match","RMON MIB","red","","2819","high",""
"UNCERTAIN: expected RFC not found & no title match","NACM","red","","8341","high",""
"UNCERTAIN: expected RFC not found & no title match","what is ipsec","red","","4301","high",""
"UNCERTAIN: expected RFC not found & no title match","IKE v2","red","","7296","high",""
"UNCERTAIN: expected RFC not found & no title match","IKEv1","red","","2409","medium",""
"UNCERTAIN: expected RFC not found & no title match","ipsec vpn configuration payload","red","","7296","low",""
"UNCERTAIN: expected RFC not found & no title match","vpn tunnel encryption protocol rfc","red","","4301","low",""
"UNCERTAIN: expected RFC not found & no title match","ipsec working group extensions","red","group.acronym=ipsecme","7296","low",""
"UNCERTAIN: expected RFC not found & no title match","RFC 2119 keywords","red","","2119","high",""
"UNCERTAIN: expected RFC not found & no title match","MUST SHOULD MAY","red","","2119","high",""
"UNCERTAIN: expected RFC not found & no title match","normative keywords rfc","red","","2119","medium",""
"UNCERTAIN: expected RFC not found & no title match","what is a proposed standard","red","","2026","high",""
"UNCERTAIN: expected RFC not found & no title match","how to write an rfc","red","","7322","medium",""
"UNCERTAIN: expected RFC not found & no title match","abstract section requirements rfc","red","","7322","medium",""
"UNCERTAIN: expected RFC not found & no title match","rfc xml format","red","","7991","medium",""
"UNCERTAIN: expected RFC not found & no title match","note well","red","","8179","low",""
"UNCERTAIN: expected RFC not found & no title match","what is a bcp","red","","1818","medium",""
"UNCERTAIN: expected RFC not found & no title match","bcp numbers explained","red","","1818","low",""
"UNCERTAIN: expected RFC not found & no title match","experimental rfc status meaning","red","","2026","medium",""
"UNCERTAIN: expected RFC not found & no title match","best current practice documents","red","status.name=Best Current Practice","2026","medium",""
"UNCERTAIN: expected RFC not found & no title match","downward reference","red","","3967","medium",""
"UNCERTAIN: expected RFC not found & no title match","downref normative reference","red","","3967","medium",""
"UNCERTAIN: expected RFC not found & no title match","downward references","red","subseries.acronym=bcp","3967","medium",""
"UNCERTAIN: expected RFC not found & no title match","ietf last call","red","","2026","medium",""
"UNCERTAIN: expected RFC not found & no title match","codel bufferbloat fix","red","","8289","medium",""
"UNCERTAIN: expected RFC not found & no title match","bufferbloat rfc","red","","8289","low",""
"UNCERTAIN: expected RFC not found & no title match","ECN tunneling ip","red","","6040","high",""
"UNCERTAIN: expected RFC not found & no title match","additive increase multiplicative decrease","red-content","","5681","medium",""
"UNCERTAIN: expected RFC not found & no title match","BCP 47","red","subseries.acronym=bcp","5646","high",""
"UNCERTAIN: expected RFC not found & no title match","what is bcp47","red","","5646","high",""
"UNCERTAIN: expected RFC not found & no title match","language subtag registry","red","","5646","high",""
"UNCERTAIN: expected RFC not found & no title match","primary language subtag","red","","5646","medium",""
"UNCERTAIN: expected RFC not found & no title match","ISO 639 language tag","red","","5646","medium",""
"UNCERTAIN: expected RFC not found & no title match","extended language subtags","red","","5646","medium",""
"UNCERTAIN: expected RFC not found & no title match","ftp rfc spec","red","","959","high",""
"UNCERTAIN: expected RFC not found & no title match","ftps","red","","4217","high",""
"UNCERTAIN: expected RFC not found & no title match","passive ftp mode","red-content","","959","medium",""
"UNCERTAIN: expected RFC not found & no title match","network file system protocol","red","","1813","medium",""
"UNCERTAIN: expected RFC not found & no title match","nfsv4.1","red","","8881","high",""
"UNCERTAIN: expected RFC not found & no title match","nfs over rdma","red","","8166","medium",""
"UNCERTAIN: expected RFC not found & no title match","smb file sharing protocol","red","","1001","low",""
"UNCERTAIN: expected RFC not found & no title match","ftp active vs passive mode explained","red-content","","959","medium",""
"UNCERTAIN: expected RFC not found & no title match","teletype network protocol","red","","854","medium",""
"UNCERTAIN: expected RFC not found & no title match","IGMP version 1","red","","1112","medium",""
"UNCERTAIN: expected RFC not found & no title match","MLDv1","red","","2710","high",""
"UNCERTAIN: expected RFC not found & no title match","multicast addressing","red","","1112","low",""
"UNCERTAIN: expected RFC not found & no title match","bonjour protocol spec","red","","6762,6763","low",""
"UNCERTAIN: expected RFC not found & no title match","DVMRP","red","","1075","medium",""
"UNCERTAIN: expected RFC not found & no title match","ntp authentication mechanism","red","","5906","low",""
"UNCERTAIN: expected RFC not found & no title match","clock synchronization protocol internet","red","","5905","medium",""
"UNCERTAIN: expected RFC not found & no title match","what is DHCP","red","","2131","high",""
"UNCERTAIN: expected RFC not found & no title match","dhcp unique identifier DUID","red","","8415","medium",""
"UNCERTAIN: expected RFC not found & no title match","dhcp failover protocol","red","","3074","low",""
"UNCERTAIN: expected RFC not found & no title match","radsec","red","","6614","low",""
"UNCERTAIN: expected RFC not found & no title match","well known ports","red","","6335","medium",""
